Name,Assign,Date,Status
,,,Not started
Milestone 1,,"January 27, 2025 → March 17, 2025",In progress
Milestone 2,,"March 18, 2025 → April 14, 2025",Not started
Milestone 3,,"April 15, 2025 → May 19, 2025",Not started
Milestone 4,,"May 20, 2025 → June 23, 2025",Not started
Milestone 5,,"June 24, 2025 → July 28, 2025",Not started
MoSP,,"March 17, 2025",Not started
EoSP,,"May 19, 2025",Not started
MoSP,,"June 23, 2025",Not started
EoSP,,"July 28, 2025",Not started
Sprint 1,,"February 1, 2025 → February 14, 2025",Not started
Sprint 2,,"February 15, 2025 → February 22, 2025",Done
Sprint 3,,"February 23, 2025 → March 1, 2025",Done
Sprint 4,,"March 2, 2025 → March 8, 2025",Done
Sprint 5,,"March 9, 2025 → March 15, 2025",In progress
Sprint 6,,"March 16, 2025 → March 22, 2025",Not started
Sprint 7,,"March 23, 2025 → March 29, 2025",Not started
Sprint 8,,"March 30, 2025 → April 5, 2025",Not started
Sprint 9,,"April 6, 2025 → April 12, 2025",Not started
Sprint 10,,"April 13, 2025 → April 19, 2025",Not started
Sprint 11,,"April 20, 2025 → April 26, 2025",Not started
Sprint 12,,"April 27, 2025 → May 3, 2025",Not started
Sprint 13,,"May 4, 2025 → May 10, 2025",Not started
Sprint 14,,"May 11, 2025 → May 17, 2025",Not started
Sprint 15,,"May 18, 2025 → May 24, 2025",Not started
Sprint 16,,"May 25, 2025 → May 31, 2025",Not started
Sprint 17,,"June 1, 2025 → June 7, 2025",Not started
Sprint 18,,"June 8, 2025 → June 14, 2025",Not started
Sprint 19,,"June 15, 2025 → June 21, 2025",Not started
Sprint 20,,"June 22, 2025 → June 28, 2025",Not started
Sprint 21,,"June 29, 2025 → July 5, 2025",Not started
Sprint 22,,"July 6, 2025 → July 12, 2025",Not started
Sprint 23,,"July 13, 2025 → July 19, 2025",Not started
Sprint 24,,"July 20, 2025 → July 26, 2025",Not started
